"Id","SalePrice"
1461,118265.027365736
1462,165295.266898366
1463,181587.406362483
1464,201499.022831327
1465,192329.648206572
1466,169722.379578281
1467,180705.743445515
1468,160525.345984789
1469,197023.20596481
1470,114064.845070514
1471,202232.076695838
1472,97974.3577182744
1473,96434.8337763205
1474,151011.514932216
1475,113907.921026912
1476,376594.366872588
1477,242345.512272075
1478,313721.490509752
1479,302652.373900478
1480,455563.235806991
1481,305197.932060212
1482,214912.75902967
1483,188983.265556433
1484,164466.211969551
1485,197422.782153403
1486,204714.74085861
1487,309381.118110369
1488,237364.194864376
1489,185496.328271501
1490,222121.126052132
1491,198198.373353138
1492,90042.7797996219
1493,173829.155400795
1494,298424.800879704
1495,287090.146828515
1496,221956.813782796
1497,178658.987139259
1498,157380.556620176
1499,155814.048849273
1500,147100.411138963
1501,165244.345196619
1502,146786.164096269
1503,278193.536401195
1504,237600.30060439
1505,218915.47716442
1506,191685.352637192
1507,243419.391810213
1508,200656.911739757
1509,166223.636048125
1510,139503.42102768
1511,145906.285764888
1512,173137.219658841
1513,145012.83513304
1514,147616.483211206
1515,209078.150915615
1516,166888.97161578
1517,168049.705319245
1518,143647.334300727
1519,212806.996541929
1520,123960.737528337
1521,133503.456763252
1522,179451.887736322
1523,107711.953022659
1524,135108.669710279
1525,121009.793085107
1526,108117.725313216
1527,99862.3769860791
1528,142612.861343543
1529,145456.287403406
1530,176651.495093088
1531,106371.512796279
1532,106644.11415694
1533,159341.566222307
1534,138941.071717629
1535,165747.652470714
1536,116882.959583536
1537,55745.3411465919
1538,140445.550620196
1539,221387.768537109
1540,100440.997780217
1541,161457.392733148
1542,144971.677140882
1543,174387.929244513
1544,84658.7709728674
1545,109212.749104851
1546,139016.408911944
1547,140633.052378393
1548,141395.712260574
1549,115589.290363612
1550,129229.784991728
1551,123612.632521307
1552,132716.600396864
1553,151942.599701062
1554,117439.838809789
1555,168820.376805857
1556,86709.7904873929
1557,106888.707878246
1558,102294.486621907
1559,66074.6491987661
1560,144210.435993383
1561,123200.923543723
1562,126288.642519855
1563,114335.549398752
1564,163451.247250403
